apiurl,domain,family,title,required_params,optional_params,response_field_count
"/ext/m186/term_hist_info","ext","m186","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m187/basic_info","ext","m187","기본정보","cust_id, auth_key, jcode","","14"
"/ext/m187/code_info","ext","m187","코드정보","cust_id, auth_key","","2"
"/ext/m187/hist_info","ext","m187","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m187/intra_info","ext","m187","주기정보(10초)","cust_id, auth_key, jcode","","11"
"/ext/m187/term_hist_info","ext","m187","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m188/basic_info","ext","m188","기본정보","cust_id, auth_key, jcode","","14"
"/ext/m188/code_info","ext","m188","코드정보","cust_id, auth_key","","2"
"/ext/m188/hist_info","ext","m188","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m188/intra_info","ext","m188","주기정보(10초)","cust_id, auth_key, jcode","","11"
"/ext/m188/term_hist_info","ext","m188","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m193/basic_info","ext","m193","기본정보","cust_id, auth_key, jcode","","17"
"/ext/m193/code_info","ext","m193","코드정보","cust_id, auth_key","","2"
"/ext/m193/hist_info","ext","m193","일별정보","cust_id, auth_key, jcode, sdate, edate","","9"
"/ext/m193/intra_info","ext","m193","주기정보(10초)","cust_id, auth_key, jcode","","15"
"/ext/m193/term_hist_info","ext","m193","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","7"
"/ext/m194/basic_info","ext","m194","기본정보","cust_id, auth_key, jcode","","71"
"/ext/m194/basic_info_port","ext","m194","기본정보(복수종목)","cust_id, auth_key, codelist","","71"
"/ext/m194/code_info","ext","m194","코드정보","cust_id, auth_key","","4"
"/ext/m194/hist_info","ext","m194","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m194/intra_info","ext","m194","주기정보(10초)","cust_id, auth_key, jcode","","13"
"/ext/m194/term_hist_info","ext","m194","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m194/tick_info","ext","m194","체결정보","cust_id, auth_key, jcode","","10"
"/ext/m195/basic_info","ext","m195","기본정보","cust_id, auth_key, jcode","","34"
"/ext/m195/basic_info_port","ext","m195","기본정보(복수종목)","cust_id, auth_key, codelist","","34"
